ts_utc,time,pools_gym_current,pools_gym_capacity,finnish_sauna_current,finnish_sauna_capacity
2026-02-12T16:41:05.713856+00:00,17:41,114,220,3,12
2026-02-12T17:45:27.709877+00:00,18:45,123,220,5,12
2026-02-12T18:38:35.952448+00:00,19:38,101,220,4,12
2026-02-12T19:37:05.721456+00:00,20:37,63,220,15,12
2026-02-12T20:00:26.824718+00:00,21:00,51,220,14,12
2026-02-12T20:48:32.719936+00:00,21:48,3,220,0,12
2026-02-13T05:21:21.557591+00:00,06:21,22,220,0,12
2026-02-13T06:34:06.082255+00:00,07:34,33,220,0,12
2026-02-13T07:34:05.110991+00:00,08:34,58,220,0,12
2026-02-13T08:06:41.224099+00:00,09:06,56,220,0,12
2026-02-13T08:58:36.581436+00:00,09:58,56,220,0,12
2026-02-13T09:44:15.997857+00:00,10:44,53,220,0,12
